Timestamp,"['utm_x', 'utm_y', 'cur_speed', 'target_predicted_speed']"
11.657503604888916,"[330288.2201443572, 4166746.7218130864, 0.6726024085594698, 2.1433135513104653]"
11.777294158935547,"[330288.1484093353, 4166746.6677800505, 0.7675258953286203, 2.1336478095973046]"
11.860545873641968,"[330288.09386863094, 4166746.5911928886, 0.8139287438099235, 2.129493417598341]"
11.961696147918701,"[330288.0393279233, 4166746.5146057284, 0.751357438240948, 2.1283263715322875]"
12.069318771362305,"[330287.9845596977, 4166746.426922449, 0.8260054479239226, 2.1275960395460674]"
12.171124696731567,"[330287.930018988, 4166746.3503352874, 0.8640370362432389, 2.1178739997618505]"
12.270925045013428,"[330287.8757057969, 4166746.284844245, 0.7856672323573131, 2.1116398823985745]"
12.376299858093262,"[330287.8209375681, 4166746.1971609667, 0.9413654975619195, 2.100475894158717]"
12.472379207611084,"[330287.75711713743, 4166746.098562516, 1.0017310018163559, 2.0904283047428454]"
12.571949481964111,"[330287.7018938669, 4166745.988687001, 1.0902660225834795, 2.081385474268561]"
12.674124240875244,"[330287.64735315205, 4166745.912099843, 1.0606436724932649, 2.073246926841705]"
12.770549535751343,"[330287.5923573988, 4166745.813320446, 0.9509763403996968, 2.0659222341575343]"
12.874114274978638,"[330287.5375891619, 4166745.7256371696, 1.0357779684855244, 2.059330010741781]"
12.974226474761963,"[330287.49119056575, 4166745.61558071, 1.0962978609848695, 2.053397009667603]"
13.0821533203125,"[330287.4361948066, 4166745.516801316, 1.0546525494208983, 2.0480573087008427]"
13.175264358520508,"[330287.3814265686, 4166745.4291180396, 1.0026589649526902, 2.0432515778307585]"
13.278045177459717,"[330287.34385264653, 4166745.3188806353, 1.064117004844862, 2.038926420047683]"
13.379801034927368,"[330287.31510340574, 4166745.208462287, 1.0111384672733996, 2.035033778042915]"
13.487584590911865,"[330287.2687048042, 4166745.0984058296, 1.0498952328684992, 2.0315304002386236]"
13.579405784606934,"[330287.25805996254, 4166745.009817827, 0.9860730196085886, 2.0283773602147614]"
13.676543712615967,"[330287.24696008035, 4166744.8990375884, 0.9429872745694928, 2.0255396241932853]"
13.781165599822998,"[330287.22703551536, 4166744.7884382927, 0.9598630110593908, 2.022985661773957]"
13.878719329833984,"[330287.2071109521, 4166744.6778389984, 1.0182892516372741, 2.020687095596561]"
13.984777927398682,"[330287.19623858936, 4166744.5781548773, 1.1129573217334077, 2.018618386036905]"
14.082632541656494,"[330287.1941909072, 4166744.478289812, 1.0430388295744315, 2.0167565474332148]"
14.180235624313354,"[330287.1828635037, 4166744.356413454, 1.0505260586963086, 2.0150808926898933]"
14.285753011703491,"[330287.1717636202, 4166744.245633213, 1.0530574533234167, 2.013572803420904]"
14.380872011184692,"[330287.1694884177, 4166744.134672028, 1.0280238324085682, 2.0122155230788135]"
14.487049102783203,"[330287.18509009783, 4166744.034445071, 1.0819186660743034, 2.010993970770932]"
14.581817150115967,"[330287.20069177845, 4166743.934218114, 1.0321690752972599, 2.009894573693839]"
14.700033903121948,"[330287.20769629825, 4166743.8452682192, 1.0103821059381446, 2.0089051163244553]"
14.885684251785278,"[330287.2474968252, 4166743.6335372403, 1.049421269081202, 2.00801460469201]"
14.98485779762268,"[330287.2628709875, 4166743.5222141654, 1.0986468950486319, 2.007213144222809]"
15.106768608093262,"[330287.3205484019, 4166743.321217415, 1.0451626667653222, 2.0064918298005283]"
15.187324523925781,"[330287.3205484019, 4166743.321217415, 1.0680543057354341, 2.0058426468204757]"
15.28709888458252,"[330287.3359225662, 4166743.2098943377, 1.0310771067189883, 2.0052583821384284]"
15.390811920166016,"[330287.3691736151, 4166743.1093054893, 1.0859967771591221, 2.0047325439245856]"
15.490524530410767,"[330287.4200740318, 4166743.008354752, 1.0724411405760224, 2.004259289532127]"
15.59216570854187,"[330287.44450040045, 4166742.9079468492, 0.951873941233817, 2.0038333605789145]"
15.694079160690308,"[330287.4951732998, 4166742.7958999937, 1.1347501927737222, 2.003450024521023]"
15.793705463409424,"[330287.54607371794, 4166742.6949492563, 1.0416851731689378, 2.0031050220689206]"
15.893654346466064,"[330287.6060263396, 4166742.6049136934, 1.1045293115169015, 2.0027945198620287]"
15.993109941482544,"[330287.65692676266, 4166742.5039629564, 1.1012106973690368, 2.002515067875826]"
16.11022448539734,"[330287.72570407216, 4166742.413746449, 1.0617438485811914, 2.0022635610882435]"
16.201021909713745,"[330287.86303117446, 4166742.2222173177, 1.1300761036319633, 2.0020372049794193]"
16.307952880859375,"[330287.9318084887, 4166742.1320008114, 1.188951218511508, 2.0018334844814776]"
16.411136627197266,"[330287.991761119, 4166742.041965252, 1.1793799218233283, 2.00165013603333]"
16.50762677192688,"[330288.06959063845, 4166741.96266392, 1.141378552453129, 2.001485122429997]"
16.60288643836975,"[330288.06959063845, 4166741.96266392, 1.1274205071755614, 2.0013366101869976]"
16.70060110092163,"[330288.10375178, 4166741.9064595504, 1.2164020716851809, 2.001202949168298]"
16.8091299533844,"[330288.26823550655, 4166741.747675947, 1.1807408691156582, 2.0010826542514684]"
16.905974864959717,"[330288.26823550655, 4166741.747675947, 1.1291412666269887, 2.0009743888263216]"
17.01534628868103,"[330288.45942081127, 4166741.599445636, 1.235639105888123, 2.0008769499436894]"
17.10627818107605,"[330288.54607502336, 4166741.519963365, 1.161279466795138, 2.0007892549493205]"
17.211924076080322,"[330288.64178143675, 4166741.451396271, 1.152987424042431, 2.0076952187761217]"
17.30931067466736,"[330288.7377153741, 4166741.393925297, 1.1153515140976857, 2.0106509319324815]"
17.410699367523193,"[330288.8334217928, 4166741.325358204, 1.0706605437765977, 2.014982865321133]"
17.50786590576172,"[330288.9384079324, 4166741.2788024065, 1.155508546052343, 2.0281289979275154]"
17.613195657730103,"[330289.04339407315, 4166741.2322466103, 1.13272944695545, 2.0460779076616595]"
17.739129543304443,"[330289.1569773818, 4166741.174413753, 1.1990037531217321, 2.071668366375936]"
17.81359362602234,"[330289.27078820916, 4166741.1276770164, 1.2073909888681462, 2.1020481347063042]"
17.92245125770569,"[330289.3845990378, 4166741.0809402824, 1.2105279839805438, 2.135132506685297]"
18.01688003540039,"[330289.49840986764, 4166741.0342035494, 1.2582344773530885, 2.173156644230164]"
18.119220733642578,"[330289.6212728998, 4166740.9983819937, 1.2561659922159971, 2.219534290575399]"
18.215431451797485,"[330289.7529606172, 4166740.962379494, 1.330137586868366, 2.271133929840694]"
18.3203763961792,"[330289.88487585436, 4166740.93747312, 1.3345879513917396, 2.3095436939970178]"
18.422001838684082,"[330290.02538825804, 4166740.901289684, 1.3703302521655136, 2.3330675585514236]"
18.520853996276855,"[330290.16612817894, 4166740.876202369, 1.4240031601088532, 2.370623713728567]"
18.62100887298584,"[330290.315920303, 4166740.862030234, 1.4719735051963403, 2.422411714605099]"
18.71741271018982,"[330290.46571242524, 4166740.847858101, 1.4807285369033718, 2.5009586318144117]"
18.818193674087524,"[330290.6241017191, 4166740.8224089113, 1.5511917998751799, 2.572343042457097]"
18.923994779586792,"[330290.7831735571, 4166740.8302480783, 1.620123452086291, 2.6402853724199007]"
19.02041745185852,"[330290.9508425663, 4166740.826810189, 1.624, 2.675343368055785]"
19.125394105911255,"[330291.12733625993, 4166740.8231913615, 1.6616368435973006, 2.7139150014377003]"
19.31113362312317,"[330291.4810061876, 4166740.8492420753, 1.7789845418102994, 2.7525502627063303]"
19.4115993976593,"[330291.6756042772, 4166740.867453615, 1.88287678832153, 2.7847772798545547]"
19.511032104492188,"[330291.8613776789, 4166740.8858461003, 1.9243830180086292, 2.7866523266535963]"
19.618242740631104,"[330292.0650279664, 4166740.914972826, 1.9580819696835983, 2.7840452917715433]"
19.714873552322388,"[330292.268905763, 4166740.955195677, 2.072753000239054, 2.7309323435627793]"
19.800885915756226,"[330292.4816082417, 4166740.995237592, 2.1421776303565494, 2.6785684205350897]"
19.918380975723267,"[330292.685713544, 4166741.046556572, 2.107493534984153, 2.6174918927172928]"
20.01515007019043,"[330292.89864353015, 4166741.0976946144, 2.146977410221169, 2.5577866794181547]"
20.117899894714355,"[330293.12062571157, 4166741.1597478436, 2.136278071787472, 2.5081936009750163]"
20.21632742881775,"[330293.3335556915, 4166741.2108859005, 2.1819672316512913, 2.488454336444837]"
20.315855264663696,"[330293.5376609824, 4166741.2622048985, 2.1282567984150784, 2.447911742958934]"
20.410669326782227,"[330293.75059095654, 4166741.3133429647, 2.168098245006439, 2.4101539585530483]"
20.50842046737671,"[330293.95424122433, 4166741.342469737, 2.1052016530489426, 2.375841386298461]"
20.611384868621826,"[330294.16694368265, 4166741.3825116954, 2.087563651724182, 2.349512464719945]"
20.700007915496826,"[330294.36199676886, 4166741.4229155337, 2.0273058476707457, 2.325212031187033]"
20.808358192443848,"[330294.56541951874, 4166741.440946204, 1.995939127328286, 2.3059107945318873]"
20.91968011856079,"[330294.7509653901, 4166741.448242635, 1.864646347166132, 2.3261519957435888]"
21.00648593902588,"[330294.9455634543, 4166741.466454251, 1.7138509270061968, 2.326873501271515]"
21.11239767074585,"[330295.1397064986, 4166741.4624736356, 1.9091508583660959, 2.3265400794303437]"
